slide_name,slide_width,slide_height,slide_mag,slide_pw
TCGA-78-7633-01Z-00-DX1,117028,86825,39.682539682539684,1015
TCGA-80-5608-01Z-00-DX1,21987,17849,19.980019980019982,511
TCGA-69-7974-01Z-00-DX1,70024,44850,39.682539682539684,1015
TCGA-86-8668-01Z-00-DX1,85372,83012,39.682539682539684,1015
TCGA-78-7146-01Z-00-DX1,84413,66269,39.682539682539684,1015
TCGA-97-7546-01Z-00-DX1,79617,74349,39.682539682539684,1015
TCGA-05-4397-01Z-00-DX1,81920,36608,43.01075268817204,1101
TCGA-78-7542-01Z-00-DX1,105517,55032,39.682539682539684,1015
TCGA-55-7725-01Z-00-DX1,29736,28294,39.682539682539684,1015
TCGA-49-6743-01Z-00-DX3,141009,84233,39.682539682539684,1015
TCGA-86-7713-01Z-00-DX1,99761,58031,39.682539682539684,1015
TCGA-86-7714-01Z-00-DX1,64269,71684,39.682539682539684,1015
TCGA-69-8253-01Z-00-DX1,61391,70645,39.682539682539684,1015
TCGA-97-A4M2-01Z-00-DX1,78522,64220,40.241448692152915,1030
TCGA-05-4424-01Z-00-DX1,70144,93440,43.01075268817204,1101
TCGA-75-6211-01Z-00-DX1,57967,25753,19.980019980019982,511
TCGA-MP-A4SV-01Z-00-DX1,71747,85607,39.63535473642489,1014
TCGA-67-3770-01Z-00-DX1,129479,33832,39.57261574990107,1013
TCGA-MN-A4N4-01Z-00-DX2,119519,86641,39.57261574990107,1013
TCGA-55-6975-01Z-00-DX1,35492,33411,39.682539682539684,1015
TCGA-73-A9RS-01Z-00-DX1,107567,73497,39.57261574990107,1013
TCGA-55-A491-01Z-00-DX1,33573,32380,39.682539682539684,1015
TCGA-55-8204-01Z-00-DX1,42206,18505,39.682539682539684,1015
TCGA-49-4490-01Z-00-DX5,124701,60515,39.682539682539684,1015
TCGA-05-4398-01Z-00-DX1,98304,111360,43.01075268817204,1101
TCGA-86-7954-01Z-00-DX1,66187,64090,39.682539682539684,1015
TCGA-97-8172-01Z-00-DX1,122571,88444,40.241448692152915,1030
TCGA-55-6979-01Z-00-DX1,68106,67400,39.682539682539684,1015
TCGA-78-7537-01Z-00-DX1,97843,78553,39.682539682539684,1015
TCGA-38-6178-01Z-00-DX1,142927,64474,39.682539682539684,1015
TCGA-86-A456-01Z-00-DX1,69720,66446,39.603960396039604,1013
TCGA-55-6978-01Z-00-DX1,50840,40890,39.682539682539684,1015
TCGA-86-7711-01Z-00-DX1,72902,82149,39.682539682539684,1015
TCGA-44-6775-01Z-00-DX1,162112,59811,39.682539682539684,1015
TCGA-S2-AA1A-01Z-00-DX1,101591,88406,39.57261574990107,1013
TCGA-55-6972-01Z-00-DX1,26858,32068,39.682539682539684,1015
TCGA-49-6744-01Z-00-DX3,172664,84494,39.682539682539684,1015
TCGA-49-4488-01Z-00-DX2,117987,84550,39.682539682539684,1015
TCGA-44-A479-01Z-00-DX1,153619,56146,39.920159680638726,1021
TCGA-78-7160-01Z-00-DX1,97843,74747,39.682539682539684,1015
TCGA-69-8254-01Z-00-DX1,113191,86285,39.682539682539684,1015
TCGA-86-8073-01Z-00-DX1,61391,70645,39.682539682539684,1015
TCGA-95-7039-01Z-00-DX1,95232,73984,44.150110375275936,1130
TCGA-J2-A4AG-01Z-00-DX1,114240,78127,40.71661237785016,1042
TCGA-MP-A4T8-01Z-00-DX1,141432,74149,39.603960396039604,1013
